"date","calendar_index","year","count","split","period","count_method","index","dataset","D_max","final_split","neural_split"
"2006-08-17",229,2006,6,"development",365,"Distinct incident_key per occurrence date.",229,"nyc_shootings",100,"development","train"
"2006-08-18",230,2006,6,"development",365,"Distinct incident_key per occurrence date.",230,"nyc_shootings",100,"development","train"
"2006-08-19",231,2006,6,"development",365,"Distinct incident_key per occurrence date.",231,"nyc_shootings",100,"development","train"
"2006-08-20",232,2006,10,"development",365,"Distinct incident_key per occurrence date.",232,"nyc_shootings",100,"development","train"
"2006-08-21",233,2006,6,"development",365,"Distinct incident_key per occurrence date.",233,"nyc_shootings",100,"development","train"
"2006-08-22",234,2006,5,"development",365,"Distinct incident_key per occurrence date.",234,"nyc_shootings",100,"development","train"
"2006-08-23",235,2006,2,"development",365,"Distinct incident_key per occurrence date.",235,"nyc_shootings",100,"development","train"
"2006-08-24",236,2006,2,"development",365,"Distinct incident_key per occurrence date.",236,"nyc_shootings",100,"development","train"
"2006-08-25",237,2006,8,"development",365,"Distinct incident_key per occurrence date.",237,"nyc_shootings",100,"development","train"
"2006-08-26",238,2006,6,"development",365,"Distinct incident_key per occurrence date.",238,"nyc_shootings",100,"development","train"
"2006-08-27",239,2006,8,"development",365,"Distinct incident_key per occurrence date.",239,"nyc_shootings",100,"development","train"
"2006-08-28",240,2006,4,"development",365,"Distinct incident_key per occurrence date.",240,"nyc_shootings",100,"development","train"
"2006-08-29",241,2006,3,"development",365,"Distinct incident_key per occurrence date.",241,"nyc_shootings",100,"development","train"
"2006-08-30",242,2006,4,"development",365,"Distinct incident_key per occurrence date.",242,"nyc_shootings",100,"development","train"
"2006-08-31",243,2006,12,"development",365,"Distinct incident_key per occurrence date.",243,"nyc_shootings",100,"development","train"
"2006-09-01",244,2006,1,"development",365,"Distinct incident_key per occurrence date.",244,"nyc_shootings",100,"development","train"
"2006-09-02",245,2006,4,"development",365,"Distinct incident_key per occurrence date.",245,"nyc_shootings",100,"development","train"
"2006-09-03",246,2006,3,"development",365,"Distinct incident_key per occurrence date.",246,"nyc_shootings",100,"development","train"
